SAMPLE_num,SAMPLE,ID,Condition,Sex,Age,CaptureArea,Slide,Sectioning,LibraryDay1,LibraryDay2,Amp.Cycles,INDEX,Qubit.Concentration,Av.Library.bp,Initial nM,Sample (ul),H2O (ul)
1,541,5.4-1,5X,M,6mo,A1,V10D07-126,10/25/21,10/27/21,11/3/21,14,E4,12.9,616,31.729634,3.9,21.1
2,412,4.1-2,WT,M,6mo,B1,V10D07-126,10/25/21,10/27/21,11/3/21,14,F4,4.96,582,12.91263147,9.7,15.3
3,331,3.3-1,5X,M,8mo,C1,V10D07-126,10/25/21,10/27/21,11/3/21,14,G4,8.64,608,21.53110048,5.8,19.2
4,585,5.8-5,WT,M,8mo,D1,V10D07-126,10/25/21,10/27/21,11/3/21,14,E6,10.5,611,26.037792,4.8,20.2
5,365,3.6-5,5X,F,4mo,A1,V11A13-402,10/26/21,10/28/21,11/3/21,15,B5,5.92,590,15.20287622,8.2,16.8
6,591,5.9-1,WT,F,4mo,B1,V11A13-402,10/26/21,10/28/21,11/3/21,14,C5,6.18,581,16.11641371,7.8,17.2
7,422,4.2-2,5X,F,6mo,C1,V11A13-402,10/26/21,10/28/21,11/3/21,15,D5,8.6,564,23.10337417,5.4,19.6
8,624,6.2-4,WT,F,6mo,D1,V11A13-402,10/26/21,10/28/21,11/3/21,14,F6,10.4,556,28.34096359,4.4,20.6
9,231,2.3-1,5X,M,4mo,A1,V11A13-401,10/28/21,11/1/21,11/4/21,14,E5,18.4,521,53.51014948,2.3,22.7
10,631,6.3-1,WT,M,4mo,B1,V11A13-401,10/28/21,11/1/21,11/4/21,14,F5,14.7,500,44.54545455,2.8,22.2
11,435,4.3-5,5X,M,6mo,C1,V11A13-401,10/28/21,11/1/21,11/4/21,14,G5,14.9,485,46.54795376,2.7,22.3
12,413,4.1-3,WT,M,6mo,D1,V11A13-401,10/28/21,11/1/21,11/4/21,14,G6,15.5,514,45.6903667,2.7,22.3
13,223,2.2-3,5X,F,6mo,A1,V11A13-400,11/1/21,11/2/21,11/4/21,14,B6,16.3,507,48.71197179,2.6,22.4
14,594,5.9-4,WT,F,6mo,B1,V11A13-400,11/1/21,11/2/21,11/4/21,14,C6,24.2,489,74.98295842,1.7,23.3
15,621,6.2-1,5X,F,12mo,C1,V11A13-400,11/1/21,11/2/21,11/4/21,14,D6,17.9,485,55.92002499,2.2,22.8
16,314,3.1-4,5X?,F,12mo,D1,V11A13-400,11/1/21,11/2/21,11/4/21,14,B7,30.2,487,93.9580611,1.3,23.7
